Record_ID,Date,Year,Month,State,District,Wave,Variant,Population,Daily_Tests,Daily_Confirmed_Cases,Daily_Recoveries,Daily_Deaths,Active_Cases,Vaccination_Dose1,Vaccination_Dose2,Vaccination_Booster,Hospital_Beds_Occupied,ICU_Occupancy_Rate,Stringency_Index
REC000001,2020-03-01,2020,March,Bihar,Bhagalpur,Wave 1,Original,1635660,497,27,0,0,27,0,0,0,4,9.93,58.3
REC000002,2020-03-01,2020,March,Bihar,Purnia,Wave 1,Original,808436,198,9,0,0,9,0,0,0,1,11.39,70.5
REC000003,2020-03-01,2020,March,Gujarat,Surat,Wave 1,Original,11448680,3450,168,0,0,168,0,0,0,25,9.68,67.8
REC000004,2020-03-01,2020,March,Karnataka,Belagavi,Wave 1,Original,1300633,387,21,0,0,21,0,0,0,3,11.23,63.2
REC000005,2020-03-01,2020,March,Kerala,Kochi,Wave 1,Original,809029,221,12,0,0,12,0,0,0,1,12.05,68.6
REC000006,2020-03-01,2020,March,Madhya Pradesh,Bhopal,Wave 1,Original,4767583,1233,54,0,0,54,0,0,0,8,11.45,62.6
REC000007,2020-03-01,2020,March,Maharashtra,Nashik,Wave 1,Original,1189981,358,17,0,0,17,0,0,0,2,9.82,70.1
REC000008,2020-03-01,2020,March,Maharashtra,Thane,Wave 1,Original,1179427,289,12,0,0,12,0,0,0,1,11.13,67.5
REC000009,2020-03-01,2020,March,Odisha,Cuttack,Wave 1,Original,1605665,428,19,0,0,19,0,0,0,2,10.19,67.8
REC000010,2020-03-01,2020,March,Punjab,Bathinda,Wave 1,Original,1323807,391,19,0,0,19,0,0,0,2,12.01,64.0
REC000011,2020-03-01,2020,March,Tamil Nadu,Coimbatore,Wave 1,Original,1558957,389,17,0,0,17,0,0,0,2,11.64,63.5
REC000012,2020-03-01,2020,March,Tamil Nadu,Trichy,Wave 1,Original,1880970,574,24,0,0,24,0,0,0,3,12.57,62.0
